﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Växjö Sol;64565;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Global Irradians (svenska stationer);medelvärde 1 timma, varje timme;watt per kvadratmeter
Solskenstid;summa 1 timme, 1 gång/tim;sekund
Långvågs-Irradians;medelvärde 1 timma, varje timme;watt per kvadratmeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1983-01-01 00:00:00;2025-04-02 08:20:20;182.0;56.9269;14.7305

Datum;Tid (UTC);Global Irradians (svenska stationer);Kvalitet;Solskenstid;Kvalitet;Långvågs-Irradians;Kvalitet;;Tidsutsnitt:
2015-01-13;02:00:00;0.00;G;0;G;;
2015-01-13;03:00:00;0.00;G;0;G;;
2015-01-13;04:00:00;0.00;G;0;G;;
2015-01-13;05:00:00;0.00;G;0;G;;
2015-01-13;06:00:00;0.00;G;0;G;;
2015-01-13;07:00:00;0.10;G;0;G;;
2015-01-13;08:00:00;4.77;G;0;G;;
2015-01-13;09:00:00;12.17;G;0;G;;
2015-01-13;10:00:00;28.26;G;0;G;;
2015-01-13;11:00:00;33.17;G;0;G;;
2015-01-13;12:00:00;37.82;G;0;G;;
2015-01-13;13:00:00;30.53;G;0;G;;
2015-01-13;14:00:00;29.31;G;0;G;;
2015-01-13;15:00:00;8.34;G;0;G;;
2015-01-13;16:00:00;0.96;G;0;G;;
2015-01-13;17:00:00;0.00;G;0;G;;
2015-01-13;18:00:00;0.00;G;0;G;;
2015-01-13;19:00:00;0.00;G;0;G;;
2015-01-13;20:00:00;0.00;G;0;G;;
2015-01-13;21:00:00;0.00;G;0;G;;
2015-01-13;22:00:00;0.00;G;0;G;;
2015-01-13;23:00:00;0.00;G;0;G;;
2015-01-14;00:00:00;0.00;G;0;G;;
2015-01-14;01:00:00;0.00;G;0;G;;
2015-01-14;02:00:00;0.00;G;0;G;;
2015-01-14;03:00:00;0.00;G;0;G;;
2015-01-14;04:00:00;0.00;G;0;G;;
2015-01-14;05:00:00;0.00;G;0;G;;
2015-01-14;06:00:00;0.00;G;0;G;;
2015-01-14;07:00:00;0.32;G;0;G;;
2015-01-14;08:00:00;3.81;G;0;G;;
2015-01-14;09:00:00;20.85;G;0;G;;
2015-01-14;10:00:00;43.92;G;0;G;;
2015-01-14;11:00:00;65.62;G;0;G;;
2015-01-14;12:00:00;70.06;G;0;G;;
2015-01-14;13:00:00;41.71;G;0;G;;
2015-01-14;14:00:00;42.28;G;0;G;;
2015-01-14;15:00:00;4.58;G;0;G;;
2015-01-14;16:00:00;0.10;G;0;G;;
2015-01-14;17:00:00;0.00;G;0;G;;
2015-01-14;18:00:00;0.00;G;0;G;;
2015-01-14;19:00:00;0.00;G;0;G;;
2015-01-14;20:00:00;0.00;G;0;G;;
2015-01-14;21:00:00;0.00;G;0;G;;
2015-01-14;22:00:00;0.00;G;0;G;;
2015-01-14;23:00:00;0.00;G;0;G;;
2015-01-15;00:00:00;0.00;G;0;G;;
2015-01-15;01:00:00;0.00;G;0;G;;
2015-01-15;02:00:00;0.00;G;0;G;;
2015-01-15;03:00:00;0.00;G;0;G;;
2015-01-15;04:00:00;0.00;G;0;G;;
2015-01-15;05:00:00;0.00;G;0;G;;
2015-01-15;06:00:00;0.00;G;0;G;;
2015-01-15;07:00:00;0.09;G;0;G;;
2015-01-15;08:00:00;3.93;G;0;G;;
2015-01-15;09:00:00;17.17;G;0;G;;
2015-01-15;10:00:00;39.82;G;0;G;;
2015-01-15;11:00:00;55.99;G;0;G;;
2015-01-15;12:00:00;37.74;G;0;G;;
2015-01-15;13:00:00;30.40;G;0;G;;
2015-01-15;14:00:00;17.70;G;0;G;;
2015-01-15;15:00:00;1.99;G;0;G;;
2015-01-15;16:00:00;0.00;G;0;G;;
2015-01-15;17:00:00;0.00;G;0;G;;
2015-01-15;18:00:00;0.00;G;0;G;;
2015-01-15;19:00:00;0.00;G;0;G;;
2015-01-15;20:00:00;0.00;G;0;G;;
2015-01-15;21:00:00;0.00;G;0;G;;
2015-01-15;22:00:00;0.00;G;0;G;;
2015-01-15;23:00:00;0.00;G;0;G;;
2015-01-16;00:00:00;0.00;G;0;G;;
2015-01-16;01:00:00;0.00;G;0;G;;
2015-01-16;02:00:00;0.00;G;0;G;;
2015-01-16;03:00:00;0.00;G;0;G;;
2015-01-16;04:00:00;0.00;G;0;G;;
2015-01-16;05:00:00;0.00;G;0;G;;
2015-01-16;06:00:00;0.00;G;0;G;;
2015-01-16;07:00:00;0.00;G;0;G;;
2015-01-16;08:00:00;2.46;G;0;G;;
2015-01-16;09:00:00;20.99;G;0;G;;
2015-01-16;10:00:00;44.45;G;0;G;;
2015-01-16;11:00:00;84.81;G;107;G;;
2015-01-16;12:00:00;42.46;G;0;G;;
2015-01-16;13:00:00;74.54;G;265;G;;
2015-01-16;14:00:00;23.72;G;0;G;;
2015-01-16;15:00:00;5.59;G;0;G;;
2015-01-16;16:00:00;0.01;G;0;G;;
2015-01-16;17:00:00;0.00;G;0;G;;
2015-01-16;18:00:00;0.00;G;0;G;;
2015-01-16;19:00:00;0.00;G;0;G;;
2015-01-16;20:00:00;0.00;G;0;G;;
2015-01-16;21:00:00;0.00;G;0;G;;
2015-01-16;22:00:00;0.00;G;0;G;;
2015-01-16;23:00:00;0.00;G;0;G;;
2015-01-17;00:00:00;0.00;G;0;G;;
2015-01-17;01:00:00;0.00;G;0;G;;
2015-01-17;02:00:00;0.00;G;0;G;;
2015-01-17;03:00:00;0.00;G;0;G;;
2015-01-17;04:00:00;0.00;G;0;G;;
2015-01-17;05:00:00;0.00;G;0;G;;
2015-01-17;06:00:00;0.00;G;0;G;;
2015-01-17;07:00:00;0.03;G;0;G;;
2015-01-17;08:00:00;4.13;G;0;G;;
2015-01-17;09:00:00;46.45;G;677;G;;
2015-01-17;10:00:00;82.78;G;643;G;;
2015-01-17;11:00:00;105.28;G;838;G;;
2015-01-17;12:00:00;72.01;G;47;G;;
2015-01-17;13:00:00;61.85;G;199;G;;
2015-01-17;14:00:00;34.45;G;0;G;;
2015-01-17;15:00:00;13.83;G;0;G;;
